"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Alberta Street",22500031,206.00,"1157L01",531841.19,178443.69,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Alberta Street",22500031,218.00,"1157L11",531662.43,178278.55,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Albion Street",22500033,223.00,"250L19",535378.12,179775.92,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Albion Street",22500033,100001.00,"250L07",535170.32,179594.94,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Albion Street",22500033,100006.00,"250L02",535153,179530,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Ambergate Street",22500074,385.00,"1158L04",531775.21,178241.53,"Not Applicable","LED","2025/2026","Low Amber","2022/2023"
"Ambergate Street",22500074,395.00,"1158L11",531801.33,178341.86,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Amelia Street",22500077,410.00,"1166L11",532014.63,178411.19,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Amelia Street",22500077,88888.00,"1166L15",532125.19,178461.34,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Amelia Street",22500077,88888.03,"1166L18",532111.3,178470.36,"Not Applicable","SON","2022/2023","Green","2022/2023"
"Ann Moss Way",22500086,88888.02,"134L02",535179,179359,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.07,"134L06",535109,179346,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.11,"134L10",535144,179286,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Ann Moss Way",22500086,88888.12,"134L11",535113,179272,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Archangel Street",22500090,485.00,"0469L02",535900,179710,"Not Applicable","LED","2028/2029","Low Amber","2022/2023"
"Archangel Street",22500090,487.00,"0469L04",535936.14,179721.35,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Artichoke Place",22500098,516.00,"2268L01",532705.48,176739.65,"Not Applicable","LED","2022/2023","Green","2022/2023"
"Aylesbury Road",22500121,641.00,"1130L02",532889.68,178256.38,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Aylesbury Road",22500121,643.00,"1130L05",532839.08,178237.82,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Berryfield Road",22500229,1238.00,"1159L02",531963.91,178299.23,"Not Applicable","LED","2024/2025","Green","2022/2023"
"Berryfield Road",22500229,1239.00,"1159L03",531941.39,178305.76,"Not Applicable","LED","2024/2025","Green","2022/2023"
"Berryfield Road",22500229,1242.00,"1159L06",531919.88,178347.71,"Attached to Column","LED","2024/2025","Green","2022/2023"
"Bethwin Road",22500231,1249.00,"1056WL02",532347.63,177478.49,"Not Applicable","LED","2023/2024","Not Applicable","2022/2023"
"Bethwin Road",22500231,1250.00,"1056WL03",532339.93,177463.08,"Not Applicable","LED","2023/2024","Not Applicable","2022/2023"
"Bevin Close",22500235,1266.00,"425L01",536071.94,180305.13,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Boat Lifter Way",22500272,88888.00,"551L01",536288.28,178927.17,"Not Applicable","LED","2030/2031","Green","2022/2023"
"Braganza Street",22500312,1720.00,"1027L13",531801.24,178160.3,"Not Applicable","LED","2025/2026","Green","2022/2023"
"Brettell Street",22500331,1856.00,"1329L02",532825.83,178197.79,"Not Applicable","LED","2027/2028","Green","2022/2023"
"Brisbane Street",22500334,2216.00,"2212L05",532695.91,177149.41,"Not Applicable","LED","2028/2029","Low Amber","2022/2023"
"Brisbane Street",22500334,2218.00,"2212L09",532712.59,177024.97,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2332.00,"0471L08",535969.3,179170.7,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2336.00,"0471L12",536029.4,179239.9,"Not Applicable","LED","2028/2029","Green","2022/2023"
"Brunswick Quay",22500361,2347.00,"0471L18",536050.6,179179.3,"Not Applicable","LED","2028/2029","Green","2022/2023"
